ID,BASLIK,ICERIK
0,OBS uzerinden daha onceden†staj1 veya staj2 dersini almistim. Cesitli nedenlerle staj yapamadim. Bu donem tekrar almam gerekiyor mu?,Hayir tekrar almaniz gerekmiyor. Stajinizi yaptiginizda aldiginiz donem uzerindeki notunuz guncellenecektir.
1,Bir yaz doneminde hem Yaz Staji 1i hem de Yaz Staji 2yi yapabilir miyim?,Eger 2 stajinizi da aldiginizda o donem mezun olacaksaniz iki stajinizi da o donem yapabilirsiniz. Sadece mezun durumundaki ogrenciler iki stajini da ayni donem yapabilir.
2,Staj raporunda kaynak kodlari koymamiz gerekiyor mu?,Eger kaynak kodlariniz kisaysa ekler kisminda koyabilirsiniz. Ancak sayfalarca kaynak kodlariniz varsa staj raporunuza ek olarak kodlarinizi cdye yazdirip raporunuzu cd ile teslim edebilirsiniz.
3,Ayni firmada iki staj yapabilir miyim?,Staj amac ve ilkelerine uymadigi icin tavsiye edilmemektedir.
4,Son sinifim ara donem staji yapabilir miyim?,Eger son siniftaysaniz ve mezuniyetinize stajlar haricinde†2 dersiniz kalmissa Ara donem stajina basvurabilirsiniz. Transkriptinizde stajlar haric gecer not almadiginiz en fazla 2 dersiniz olmasi gerekmektedir.
5,Ara donem stajinda birlestirilmis staj yapabilir miyim?,Evet. 2 stajinizi da ara donem stajinda yapmak istiyorsaniz ikisini birlestirip yapabilirsiniz. Bunun icin dekanlik tarafindan ilan edilen staj donemlerinden birinin baslangic tarihinden itibaren 50 is gunu sayarak stajinizin baslangic ve bitis tarihlerini belirleyebilirsiniz. Bu 50 is gunu icerisinde resmi tatil gunleri haric tutulmalidir.
6,Staj defteri de yazmali miyim?,Muhendislik Fakultesi Bilgisayar Muhendisligi Bolumu ogrencilerimiz staj yaptiklarinda staj raporu yazmaktadir. Teknoloji fakultesinden gelen bilgisayar muhendisligi bolumu ogrencilerimiz ise staj defteri yazmaktadir. Staj raporu hazirlama kitapcigi bolum sitemizde bulunmaktadir.
7,Stajda proje gelistirme zorunlulugu var mi?,"Evet, ogrencilerimiz yaptiklari stajlari boyunca bir proje(yazilimsal veya donanimsal) gelistirmelidir. Staj yapilan sirket bir proje vermediyse ogrencilerimiz daha onceden bilmedigi bir teknolojiyi ogrenip kendileri bu alanda bir proje gelistirebilir. Gelistirdikleri projenin yetkinligini ve kontrolunu staj yaptiklari yerdeki muhendislere onaylatabilir. Proje gelistirilmeden staj yapan ogrencilerimiz staj raporlari degerlendirildiginde staj komisyonu tarafindan mulakata cagrilabilir.¬†"
8,SBS (Staj bilgi sistemi) uzerinden ne zamana kadar staj basvurusu yapilabilir?,Stajlara basvuru SBS uzerinden yapilmaktadir. Sistemde staj yapilabilecek dekanlik tarafindan belirlenen farkli donemler bulunmaktadir. Ogrenciler kendi belirledikleri staj doneminin baslangic tarihinden en gec 10 gun oncesine kadar ilgili donemde yapacagi staja basvurabilir. 10 gun oncesinde sistem kapanmaktadir ve yeni basvurular alinmamaktadir.
9,Yaz okulunda acilan staj1 ve staj2 òyi secmem gerekiyor mu?,Eger staj1 ve staj 2 yi yapmaniz gereken donemi gecirmis iseniz( staj 1 4. Donem sonunda yapilir ve 5. Donem ders seciminde secilir. Staj degerlendirmesi de donem sonunda girilir. Staji ogrenci yapsin yada yapmasin secmek zorunda oldugu halde yapmadigi icin AKTS kullanmak icin secmedi ise transkriptte yer almaz) transkriptinizde yer almiyor ancak staj1 ve/veya staj2‚Äô yi bu yaz doneminde yapacak iseniz(odev/proje seklinde staj da dahil) staj1 ve staj2 yi secmeniz gerekiyor. Ancak daha onceden staj1 veya staj2 dersini OBS'de aldiysaniz bir kere daha almaniza gerek yoktur.
